country,year,iso_code,population,gdp,biofuel_consumption,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_consumption,coal_electricity,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_per_gdp,fossil_electricity,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_consumption,gas_electricity,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_consumption,hydro_electricity,hydro_share_elec,hydro_share_energy,low_carbon_consumption,low_carbon_electricity,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_consumption,nuclear_electricity,nuclear_share_elec,nuclear_share_energy,oil_consumption,oil_electricity,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_consumption,renewables_electricity,renewables_share_elec,renewables_share_energy,solar_consumption,solar_electricity,solar_share_elec,solar_share_energy,wind_consumption,wind_electricity,wind_share_elec,wind_share_energy
World,2000,,6148898816,59866659946496.0,132.918,148.65,0.993,0.12,466.187,27434.627,5719.12,26801.971,38.199,24.86,14971.79,14971.79,13.567,1.843,9609.74,94406.922,64.186,85.547,23994.258,2681.11,24007.168,17.908,21.742,6979.65,7826.347,2621.36,17.509,7.092,15949.609,5362.05,35.814,14.453,,,7322.683,2507.43,16.748,6.635,42978.039,1209.51,41844.168,8.079,38.945,571.651,201.02,52.37,1.343,0.35,0.518,2434.874,110356.539,8626.927,2854.62,19.067,7.817,3.133,1.08,0.007,0.003,92.878,31.16,0.208,0.084
World,2001,,6230747136,,131.354,143.1,0.942,0.118,467.779,27864.945,5801.14,27938.289,38.175,25.001,15196.35,15196.35,13.634,,9826.39,95559.0,64.663,85.736,24316.832,2827.65,24574.18,18.607,21.817,7108.53,7575.783,2561.04,16.853,6.797,15898.328,5369.96,35.337,14.264,,,7480.557,2573.71,16.936,6.712,43377.219,1197.6,41841.914,7.881,38.918,593.699,195.7,52.6,1.288,0.346,0.533,2438.929,111457.32,8417.771,2796.25,18.401,7.552,4.183,1.35,0.009,0.004,112.753,38.16,0.251,0.101
World,2002,,6312407552,,159.002,156.61,0.995,0.14,470.843,28962.951,6056.12,28275.645,38.493,25.441,15733.18,15733.18,13.82,,10265.48,97669.164,65.247,85.793,25030.172,3033.78,25147.338,19.283,21.987,7407.86,7665.752,2601.39,16.534,6.734,16173.172,5467.7,34.753,14.207,,,7551.077,2601.89,16.538,6.633,43676.043,1175.58,41337.141,7.472,38.365,639.194,210.69,54.08,1.339,0.344,0.561,2492.421,113842.336,8622.095,2865.81,18.215,7.574,5.252,1.69,0.011,0.005,152.894,52.04,0.331,0.134
World,2003,,6393898496,,178.327,167.91,1.031,0.151,480.046,31506.16,6458.61,30349.32,39.643,26.725,16292.11,16292.11,13.82,,10822.59,101887.992,66.428,86.427,25729.617,3165.78,26046.873,19.431,21.825,7820.97,7607.18,2602.33,15.973,6.453,16001.017,5469.52,33.572,13.573,,,7350.656,2577.71,15.822,6.235,44652.219,1198.2,43173.34,7.354,37.876,674.778,223.98,56.07,1.375,0.344,0.572,2548.072,117889.008,8650.36,2891.81,17.75,7.338,6.542,2.07,0.013,0.006,183.533,63.43,0.389,0.156
World,2004,,6475751424,,210.217,184.54,1.08,0.17,475.705,33685.52,6697.61,32973.281,39.183,27.222,17093.141,17093.141,13.814,,11283.27,106794.469,66.011,86.304,26721.139,3408.19,26932.479,19.939,21.594,8131.3,8116.503,2796.69,16.361,6.559,16947.156,5809.87,33.989,13.696,,,7635.77,2682.73,15.695,6.171,46387.812,1177.47,45335.406,6.889,37.488,729.379,242.48,57.94,1.419,0.339,0.589,2639.561,123741.633,9311.386,3127.14,18.295,7.525,8.564,2.71,0.016,0.007,246.723,85.26,0.499,0.199
World,2005,,6558176256,,246.526,208.44,1.173,0.193,479.128,36183.348,7040.85,35048.484,39.636,28.312,17763.939,17763.939,13.9,,11806.97,110509.383,66.466,86.47,27438.281,3579.99,27577.684,20.153,21.47,8511.2,8336.344,2895.17,16.298,6.523,17291.805,5956.97,33.534,13.53,,,7607.354,2686.95,15.126,5.952,46887.754,1186.13,45723.043,6.677,36.688,789.999,267.18,58.74,1.504,0.331,0.618,2708.67,127801.188,9684.451,3270.02,18.408,7.578,11.991,3.78,0.021,0.009,299.592,103.89,0.585,0.234
World,2006,,6641416192,,306.519,220.96,1.196,0.233,481.095,38068.867,7439.88,36816.934,40.278,28.968,18471.24,18471.24,14.056,,12329.32,113618.281,66.749,86.457,28161.41,3792.38,28518.16,20.531,21.429,8886.42,8599.518,3001.53,16.25,6.544,17797.314,6141.92,33.251,13.543,,,7653.722,2721.42,14.733,5.824,47388.004,1097.06,46130.555,5.939,36.06,841.289,281.07,60.11,1.522,0.325,0.64,2781.22,131415.594,10143.593,3420.5,18.518,7.719,16.398,5.11,0.028,0.012,379.87,132.79,0.719,0.289
World,2007,,6725948416,,397.336,243.14,1.256,0.293,489.054,40231.242,7931.82,38440.793,40.975,29.703,19357.619,19357.619,14.292,,13160.68,117489.945,67.987,86.743,29315.736,4109.47,29278.646,21.229,21.644,9466.93,8687.896,3046.18,15.736,6.414,17956.312,6196.94,32.013,13.257,,,7450.836,2666.92,13.777,5.501,47942.969,1119.39,46036.695,5.783,35.396,913.176,306.01,62.87,1.581,0.325,0.674,2878.051,135446.25,10505.478,3530.02,18.236,7.756,22.108,6.92,0.036,0.016,484.96,170.91,0.883,0.358
World,2008,,6811597312,,538.467,258.44,1.315,0.393,482.878,40780.078,7927.59,39704.371,40.323,29.759,19660.039,19660.039,14.347,,13217.09,118344.031,67.228,86.36,30026.16,4210.51,30350.311,21.417,21.911,9493.4,9137.472,3231.07,16.435,6.668,18692.078,6442.95,32.772,13.64,,,7381.602,2656.04,13.51,5.387,47537.797,1078.99,46524.328,5.488,34.69,976.664,324.41,65.97,1.65,0.336,0.713,2886.26,137036.109,11310.476,3786.91,19.262,8.254,35.683,11.36,0.058,0.026,622.19,220.07,1.119,0.454
World,2009,,6898306048,,610.654,279.55,1.429,0.453,479.258,40144.199,7817.32,39646.293,39.963,29.774,19561.35,19561.35,14.508,,13070.16,116038.727,66.816,86.064,29405.35,4247.72,29409.021,21.715,21.809,9374.93,9066.387,3229.55,16.51,6.724,18790.303,6491.19,33.184,13.936,,,7232.23,2619.0,13.389,5.364,46489.172,1005.12,45365.801,5.138,34.48,1049.163,347.57,68.02,1.777,0.348,0.778,2835.674,134829.016,11558.073,3872.19,19.795,8.572,58.852,19.19,0.098,0.044,773.018,275.88,1.41,0.573
World,2010,,6985603072,89807296397312.0,699.763,322.22,1.539,0.495,480.564,41937.48,8358.6,41774.602,39.921,29.674,20938.061,20938.061,14.815,1.574,14071.65,121502.586,67.206,85.974,31593.695,4701.27,31502.096,22.453,22.355,10062.07,9520.602,3412.33,16.297,6.737,19822.973,6866.41,32.794,14.026,,,7373.091,2686.44,12.83,5.217,47971.41,1011.78,46264.992,4.832,33.944,1173.904,390.6,68.38,1.866,0.327,0.831,2997.316,141325.547,12449.881,4179.97,19.964,8.809,94.126,31.05,0.148,0.067,961.486,345.99,1.652,0.68
World,2011,,7073125376,,735.382,342.44,1.581,0.509,486.736,43895.938,8814.17,44738.312,40.704,30.361,21654.23,21654.23,14.977,,14685.28,124557.797,67.817,86.152,32349.238,4767.24,32575.619,22.015,22.375,10539.9,9635.082,3479.25,16.067,6.664,20021.117,6968.95,32.183,13.848,,,7021.486,2575.35,11.893,4.857,48312.621,1103.87,46622.281,5.098,33.416,1232.386,412.11,69.67,1.903,0.322,0.852,3061.48,144578.906,12999.631,4393.6,20.29,8.991,181.102,61.85,0.286,0.125,1215.678,440.39,2.034,0.841
